SrNo,PreheatingZone,HeatingZone1,HeatingZone2,SockingZone,FuelType,AirFuelRatio
1,439,657,630,1086,1,11
2,423,585,642,980,1,19
3,358,631,710,954,1,8
4,367,583,612,1065,1,11
5,491,555,682,927,1,12
6,443,699,703,1089,1,14
7,473,574,615,1066,1,14
8,433,570,711,964,1,18
9,357,571,752,951,1,10
10,406,694,686,1059,1,15
11,364,639,678,911,1,6
12,494,647,697,1062,1,12
13,493,692,736,1017,1,18
14,423,542,670,942,1,5
15,440,515,685,975,1,16
16,386,681,600,1092,1,5
17,459,539,646,1095,1,11
18,418,641,706,1044,1,6
19,430,640,714,1073,1,13
20,494,541,688,907,1,5
21,464,574,611,981,1,7
22,415,639,766,1094,1,10
23,428,636,658,1072,1,14
24,384,680,663,981,1,12
25,459,660,654,1023,1,19
26,492,670,690,1098,1,19
27,351,547,742,1096,1,7
28,471,610,613,1011,1,11
29,381,541,689,1063,1,19
30,413,653,776,1033,1,19
31,356,650,788,958,1,15
32,387,537,670,1093,1,17
33,484,648,741,1061,1,13
34,495,502,637,962,1,10
35,407,509,696,1003,1,5
36,493,655,601,992,1,9
37,395,614,753,902,1,6
38,370,625,715,969,1,18
39,383,575,604,982,1,16
40,457,680,662,1056,1,13
41,480,601,674,991,1,5
42,384,661,671,1058,1,14
43,387,633,770,1059,1,12
44,459,643,762,931,1,13
45,388,632,751,965,1,17
46,459,682,733,979,1,5
47,441,566,716,960,1,18
48,486,653,724,1013,1,16
49,479,635,612,995,1,18
50,378,675,652,1042,1,7
51,498,568,623,926,1,17
52,448,690,756,1088,1,5
53,368,513,601,1021,1,18
54,470,670,645,1091,1,18
55,388,501,736,1011,1,14
56,356,558,767,947,1,9
57,364,598,785,900,1,14
58,497,573,753,1001,1,16
59,372,630,686,1032,1,12
60,421,686,600,918,1,6
61,374,658,612,948,1,13
62,451,604,665,988,1,14
63,370,655,669,1054,1,18
64,394,503,666,1092,1,19
65,382,603,768,1022,1,9
66,405,625,670,1038,1,6
67,385,502,674,938,1,18
68,373,653,731,985,1,13
69,424,554,783,966,1,6
70,499,502,740,1061,1,12
71,397,537,676,1012,1,6
72,438,523,714,953,1,6
73,477,686,785,1092,1,18
74,426,680,600,981,1,8
75,424,509,615,1053,1,16
76,403,509,761,1088,1,10
77,456,502,689,1058,1,14
78,475,617,707,1051,1,12
79,496,574,744,1071,1,5
80,409,597,664,931,1,16
81,424,600,707,912,1,8
82,456,665,714,997,1,19
83,412,639,632,984,1,8
84,417,549,640,1040,1,15
85,499,548,666,982,1,8
86,446,663,678,965,1,15
87,455,688,719,940,1,13
88,480,500,691,1062,1,19
89,385,612,620,1042,1,19
90,441,693,759,910,1,13
91,383,603,673,926,1,13
92,476,648,749,943,1,12
93,473,592,765,1052,1,19
94,478,664,718,923,1,9
95,369,580,751,959,1,15
96,402,656,685,1071,1,8
97,472,618,767,1062,1,8
98,417,634,704,921,1,15
99,496,621,752,977,1,19
100,434,578,786,972,1,7
